Class Dataset,Features,Model,Accuracy,Precision,Recall,F1 Score
Class 1,48,Random Forest,0.9260780287474333,0.9263331687157228,0.9260780287474333,0.9260649352808652
Class 1,43,Random Forest,0.9301848049281314,0.9309057911151047,0.9301848049281314,0.9301524078125349
Class 1,38,Random Forest,0.917864476386037,0.9183105213774969,0.917864476386037,0.9178395330835493
Class 1,33,Random Forest,0.9219712525667351,0.923790981653106,0.9219712525667351,0.9218816552208138
Class 1,28,Random Forest,0.9219712525667351,0.9226776663668687,0.9219712525667351,0.9219350440257744
Class 1,23,Random Forest,0.9240246406570842,0.9260911874748966,0.9240246406570842,0.9239264816925337
Class 1,18,Random Forest,0.9137577002053389,0.9144495416186327,0.9137577002053389,0.9137176802390139
Class 1,13,Random Forest,0.9137577002053389,0.9141990295470133,0.9137577002053389,0.9137315097377268
Class 1,8,Random Forest,0.8993839835728953,0.8994420728412408,0.8993839835728953,0.8993788923777719
Class 1,3,Random Forest,0.7946611909650924,0.794684533578904,0.7946611909650924,0.7946594593755943
Class 1,48,XGBoost,0.9281314168377823,0.9287117221676635,0.9281314168377823,0.9281041329141794
Class 1,43,XGBoost,0.9281314168377823,0.9287117221676635,0.9281314168377823,0.9281041329141794
Class 1,38,XGBoost,0.9281314168377823,0.9287117221676635,0.9281314168377823,0.9281041329141794
Class 1,33,XGBoost,0.9301848049281314,0.9306449968689473,0.9301848049281314,0.9301636031210169
Class 1,28,XGBoost,0.9240246406570842,0.9245990149480909,0.9240246406570842,0.9239957976521327
Class 1,23,XGBoost,0.9301848049281314,0.9302985741022558,0.9301848049281314,0.9301789169280072
Class 1,18,XGBoost,0.9240246406570842,0.9242003127170564,0.9240246406570842,0.9240150289169202
Class 1,13,XGBoost,0.919917864476386,0.9202604886894491,0.919917864476386,0.9198989504948618
Class 1,8,XGBoost,0.8952772073921971,0.8954395394633942,0.8952772073921971,0.8952639587773766
Class 1,3,XGBoost,0.7351129363449692,0.7389180441038177,0.7351129363449692,0.734000196430316
Class 2,48,Random Forest,0.917864476386037,0.9234468267991022,0.917864476386037,0.9175822667233031
Class 2,43,Random Forest,0.9158110882956879,0.9226428126133677,0.9158110882956879,0.9154574267724259
Class 2,38,Random Forest,0.9117043121149897,0.9168112625684778,0.9117043121149897,0.9114219272765225
Class 2,33,Random Forest,0.9117043121149897,0.9160733905736596,0.9117043121149897,0.9114616317941123
Class 2,28,Random Forest,0.9158110882956879,0.9202248117155661,0.9158110882956879,0.9155796954315955
Class 2,23,Random Forest,0.9096509240246407,0.9151211948415295,0.9096509240246407,0.9093404933956336
Class 2,18,Random Forest,0.8952772073921971,0.9026474833552721,0.8952772073921971,0.8947793578105809
Class 2,13,Random Forest,0.8788501026694046,0.8898690960633943,0.8788501026694046,0.8779638847759728
Class 2,8,Random Forest,0.8809034907597536,0.8893836009539965,0.8809034907597536,0.8802307318525949
Class 2,3,Random Forest,0.7494866529774127,0.7500687518333822,0.7494866529774127,0.7493217581160815
Class 2,48,XGBoost,0.9383983572895277,0.9394596355902824,0.9383983572895277,0.938357809372807
Class 2,43,XGBoost,0.9383983572895277,0.9394596355902824,0.9383983572895277,0.938357809372807
Class 2,38,XGBoost,0.9383983572895277,0.9394596355902824,0.9383983572895277,0.938357809372807
Class 2,33,XGBoost,0.9301848049281314,0.9316036383359444,0.9301848049281314,0.9301229287423445
Class 2,28,XGBoost,0.9137577002053389,0.9171481343495507,0.9137577002053389,0.9135732909605108
Class 2,23,XGBoost,0.9158110882956879,0.9195393125589467,0.9158110882956879,0.9156146654122518
Class 2,18,XGBoost,0.917864476386037,0.920148596328981,0.917864476386037,0.9177458556085464
Class 2,13,XGBoost,0.891170431211499,0.8926470471645009,0.891170431211499,0.8910601835825837
Class 2,8,XGBoost,0.8726899383983573,0.8742892292105763,0.8726899383983573,0.8725437532550119
Class 2,3,XGBoost,0.7802874743326489,0.8016880401660958,0.7802874743326489,0.776238874232513
Class 3,48,Random Forest,0.9322381930184805,0.932834549346848,0.9322381930184805,0.9322176162693496
Class 3,43,Random Forest,0.9301848049281314,0.9309173402557921,0.9301848049281314,0.9301583026692383
Class 3,38,Random Forest,0.9322381930184805,0.9331282188927943,0.9322381930184805,0.9322067515446145
Class 3,33,Random Forest,0.9363449691991786,0.9375989609722927,0.9363449691991786,0.9363030741045477
Class 3,28,Random Forest,0.9322381930184805,0.9334808997684383,0.9322381930184805,0.9321935950145184
Class 3,23,Random Forest,0.9260780287474333,0.9268039740319001,0.9260780287474333,0.9260499675321345
Class 3,18,Random Forest,0.9322381930184805,0.9338928730730068,0.9322381930184805,0.9321781440700091
Class 3,13,Random Forest,0.9363449691991786,0.9390273314837165,0.9363449691991786,0.936253052458129
Class 3,8,Random Forest,0.9075975359342916,0.9087725325453124,0.9075975359342916,0.9075367204743433
Class 3,3,Random Forest,0.8234086242299795,0.8252119964985253,0.8234086242299795,0.8231805046716139
Class 3,48,XGBoost,0.9425051334702259,0.9432574389274685,0.9425051334702259,0.9424833080805491
Class 3,43,XGBoost,0.9425051334702259,0.9432574389274685,0.9425051334702259,0.9424833080805491
Class 3,38,XGBoost,0.9425051334702259,0.9432574389274685,0.9425051334702259,0.9424833080805491
Class 3,33,XGBoost,0.944558521560575,0.9451707932069677,0.944558521560575,0.9445416860385588
Class 3,28,XGBoost,0.9404517453798767,0.9413578008797141,0.9404517453798767,0.940424114993752
Class 3,23,XGBoost,0.9342915811088296,0.9357394090369224,0.9342915811088296,0.9342411214791325
Class 3,18,XGBoost,0.9322381930184805,0.9331282188927943,0.9322381930184805,0.9322067515446145
Class 3,13,XGBoost,0.9342915811088296,0.9361832073385083,0.9342915811088296,0.9342250252115125
Class 3,8,XGBoost,0.8993839835728953,0.8994471583506977,0.8993839835728953,0.899381438104135
Class 3,3,XGBoost,0.8501026694045175,0.8502566596539033,0.8501026694045175,0.8500900280016598
